Year,Quarter,y
2005,Q1,1108967
,Q2,721024
,Q3,838583
,Q4,1250037
2006,Q1,1267443
,Q2,853856
,Q3,929458
,Q4,1396410
2007,Q1,1632324
,Q2,934997
,Q3,1062034
,Q4,1575266
2008,Q1,1632324
,Q2,1030108
,Q3,1146325
,Q4,1473846
2009,Q1,1405614
,Q2,997366
,Q3,1126558
,Q4,1638161
2010,Q1,1634521
,Q2,1085830
,Q3,1259101
,Q4,1796240
2011,Q1,1785510
,Q2,1236608
,Q3,1318627
,Q4,1968477
2012,Q1,1960168
,Q2,1256349
,Q3,1348438
,Q4,2012790
2013,Q1,2048475
,Q2,1316877
,Q3,1449261
,Q4,2152989
2014,Q1,2203901
,Q2,1505103
,Q3,1651006
,Q4,2319088
2015,Q1,2279706
,Q2,1565291
,Q3,1773996
,Q4,2408140
2016,Q1,2500453
,Q2,1664034
,Q3,1989797
,Q4,2641323
